codigo,nombre,creditos,docente
MAT101,Cálculo Diferencial,4,Dr. Ana María López
FIS101,Física Mecánica,4,Dr. Carlos Eduardo García
QUI101,Química General,3,Dra. Patricia Méndez
PRO101,Programación I,3,Ing. Miguel Ángel Ruiz
EST101,Estadística Básica,3,Dr. Jorge Luis Hernández
ING101,Inglés Técnico,2,Prof. Sandra Milena Castro
MAT201,Cálculo Integral,4,Dr. Ana María López
FIS201,Física Electromagnética,4,Dr. Carlos Eduardo García
PRO201,Programación II,3,Ing. Miguel Ángel Ruiz
EST201,Estadística Avanzada,3,Dr. Jorge Luis Hernández
